id,genres,revenue,title,vote_average,budget,popularity,runtime
5,Comedy,6.633468456,Four Rooms,6.5,-0.753773344,0.078272425,-13.30120876
11,Adventure,8.88952468,Star Wars,8.1,-0.31444065,0.820613381,9.698791245
13,Comedy,8.831194718,Forrest Gump,8.2,0.384529354,0.859186456,30.69879124
14,Drama,8.551811679,American Beauty,7.9,-0.179742076,0.626721623,10.69879124
16,Drama,7.602405975,Dancer in the Dark,7.6,-0.248623365,0.061749226,28.69879124
18,Adventure,8.421472599,The Fifth Element,7.3,0.598409174,0.758415397,14.69879124
19,Sci Fi,5.813195222,Metropolis,8,0.610871442,0.228782755,41.69879124
22,Adventure,8.816248742,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,0.790294701,1.153413586,31.69879124
24,Action,8.257556187,Kill Bill: Vol. 1,7.7,0.12128792,0.620645705,-0.301208755
25,Drama,7.986278947,Jarhead,6.6,0.501499161,0.227110855,13.69879124
28,Drama,7.951630743,Apocalypse Now,8,0.142477219,0.417627408,41.69879124
35,Comedy,8.721867351,The Simpsons Movie,6.9,0.519227928,0.389832726,-24.30120876
38,Romance,7.858886694,Eternal Sunshine of the Spotless Mind,7.9,-0.054803339,0.470794093,-3.301208755
55,Thriller,7.320322192,Amores perros,7.6,-1.054803339,0.085901093,42.69879124
58,Adventure,9.027618588,Pirates of the Caribbean: Dead Man's Chest,7,0.945196661,0.8827866,39.69879124
59,Thriller,7.783480701,A History of Violence,6.9,0.149316643,0.258324636,-15.30120876
62,Adventure,7.836956737,2001: A Space Odyssey,7.9,-0.334644036,0.654401202,37.69879124
65,Drama,8.33243846,8 Mile,6.8,0.256950522,0.234742893,-1.301208755
66,Thriller,7.699562933,Absolute Power,6.4,0.343136669,-0.148315728,9.698791245
69,Romance,8.270536492,Walk the Line,7.3,0.091324696,0.270094305,24.69879124
70,Drama,8.335986447,Million Dollar Baby,7.7,0.12128792,0.566806028,20.69879124
71,Comedy,8.041392685,Billy Elliot,7.4,-0.656863331,0.029118859,-1.301208755
73,Drama,7.37794569,American History X,8.2,-0.054803339,0.585572387,7.698791245
74,Adventure,8.772130472,War of the Worlds,6.2,0.764740596,0.405280449,4.698791245
75,Comedy,8.005913804,Mars Attacks!,6.1,0.489264705,0.36323334,-5.301208755
76,Romance,6.743149402,Before Sunrise,7.7,-0.957893326,0.093133399,-6.301208755
77,Thriller,7.59904309,Memento,8.1,-0.401590826,0.50218505,1.698791245
78,Thriller,7.520347498,Blade Runner,7.9,0.091324696,0.692275081,5.698791245
79,Adventure,8.248939984,Hero,7.2,0.135528359,0.091935983,-12.30120876
80,Romance,7.203919482,Before Sunset,7.6,-0.924469571,-0.11087018,-31.30120876
83,Thriller,7.73773282,Open Water,5.4,-2.241889983,-0.087657464,-32.30120876
85,Adventure,8.590982162,Raiders of the Lost Ark,7.7,-0.10056083,0.552414979,3.698791245
87,Adventure,8.522444234,Indiana Jones and the Temple of Doom,7.1,0.091324696,0.544812209,6.698791245
89,Adventure,8.675935727,Indiana Jones and the Last Crusade,7.6,0.325407902,0.627225385,15.69879124
90,Comedy,8.500182223,Beverly Hills Cop,6.8,-0.179742076,0.193742354,-6.301208755
95,Adventure,8.743352611,Armageddon,6.4,0.790294701,0.485939646,39.69879124
96,Comedy,8.477070636,Beverly Hills Cop II,6.1,-0.054803339,0.121739936,-11.30120876
98,Adventure,8.660524382,Gladiator,7.9,0.65700389,0.697986778,43.69879124
100,Comedy,6.590793812,"Lock, Stock and Two Smoking Barrels",7.5,-1.225499567,-0.076108234,-6.301208755
103,Drama,7.451211712,Taxi Driver,8,-1.241889983,0.488597723,2.698791245
104,Thriller,6.86139012,Run Lola Run,7.2,-1.171141904,0.156093263,-30.30120876
105,Adventure,8.581050073,Back to the Future,8,-0.077079734,0.60313507,4.698791245
106,Adventure,7.992268672,Predator,7.3,-0.10056083,0.417939684,-4.301208755
107,Thriller,7.921987371,Snatch,7.7,-0.355833335,0.448017805,-8.301208755
111,Thriller,7.818784593,Scarface,8,0.042106674,0.564643042,58.69879124
114,Comedy,8.665580991,Pretty Woman,7,-0.209705299,0.3766462,7.698791245
115,Comedy,7.6645439,The Big Lebowski,7.8,-0.179742076,0.411118592,5.698791245
116,Thriller,7.930981482,Match Point,7.3,-0.179742076,0.205600515,12.69879124
117,Thriller,7.882356332,The Untouchables,7.6,0.042106674,0.301779217,7.698791245
118,Adventure,8.676665049,Charlie and the Chocolate Factory,6.7,0.820257924,0.450521791,3.698791245
